survey	data_release	source_name	schema_key
GALAH	Data Release 3	140608003101195	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101196	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101216	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101311	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101317	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101318	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101327	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101336	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101345	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101346	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101357	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101360	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101368	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101371	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101376	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101383	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101387	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101389	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003701257	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003701259	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003701289	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003701299	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003701315	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003701316	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003701322	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003701395	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140609002101004	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140609002101005	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140609002101009	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140609002101012	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140609002101018	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140609002101019	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140609002101022	galah.dr3.spectra.hermes.spectrum_1d
